## PATTERN: PAIR (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
| 64B |      0.88 Kmsg/s |      0.1 MB/s |   1133.10 us |  1169.00 us |  1207.93 us |  0.6 |   86.3 |
| 256B |      0.88 Kmsg/s |      0.2 MB/s |   1135.81 us |  1175.00 us |  1213.04 us |  0.6 |   85.7 |
| 1024B |      0.87 Kmsg/s |      0.9 MB/s |   1143.31 us |  1181.00 us |  1212.33 us |  0.6 |   85.8 |
| 65536B |      0.85 Kmsg/s |     55.6 MB/s |   1176.24 us |  1233.75 us |  1274.55 us |  0.8 |   84.4 |
| 131072B |      0.82 Kmsg/s |    107.0 MB/s |   1220.76 us |  1322.00 us |  1412.19 us |  1.1 |   86.1 |
| 262144B |      0.79 Kmsg/s |    207.3 MB/s |   1260.86 us |  1356.35 us |  1413.47 us |  1.3 |   87.6 |

===============================================================================

## PATTERN: ROUTER_ROUTER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.88 Kmsg/s |      0.1 MB/s |   1133.39 us |  1169.00 us |  1199.88 us |  0.7 |   86.0 |
| 256B |      0.87 Kmsg/s |      0.2 MB/s |   1143.55 us |  1179.00 us |  1217.70 us |  0.7 |   84.0 |
| 1024B |      0.88 Kmsg/s |      0.9 MB/s |   1135.56 us |  1174.00 us |  1234.00 us |  0.6 |   84.7 |
| 65536B |      0.86 Kmsg/s |     56.5 MB/s |   1158.82 us |  1222.55 us |  1295.91 us |  0.8 |   85.9 |
| 131072B |      0.86 Kmsg/s |    112.1 MB/s |   1167.88 us |  1235.00 us |  1281.24 us |  0.9 |   86.2 |
| 262144B |      0.84 Kmsg/s |    219.1 MB/s |   1194.90 us |  1276.00 us |  1317.00 us |  1.0 |   86.3 |

### Transport: tls
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | CPU% | Mem MB |
|----------|------------------|-----------|--------------|----------|----------|------|--------|
| 64B |      0.88 Kmsg/s |      0.1 MB/s |   1133.46 us |  1171.00 us |  1216.94 us |  0.6 |   89.8 |
| 256B |      0.85 Kmsg/s |      0.2 MB/s |   1173.68 us |  1309.00 us |  1370.50 us |  0.8 |   87.9 |
