## PATTERN: MULTI_DEALER_DEALER (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
| 1024B |      0.81 Kops/s |      1.7 MB/s |   1231.76 us |  2257.45 us |  2300.29 us |    0.6 |     29.8 |    0.6 |     28.6 |
| 65536B |      0.79 Kops/s |    103.2 MB/s |   1268.04 us |  2276.05 us |  2319.00 us |    0.7 |     28.6 |    0.7 |     27.3 |
| 131072B |      0.70 Kops/s |    183.4 MB/s |   1426.11 us |  2336.00 us |  2439.09 us |    0.9 |     29.8 |    0.8 |     28.6 |
| 262144B |      0.69 Kops/s |    359.2 MB/s |   1456.44 us |  2357.00 us |  2426.31 us |    1.1 |     28.6 |    1.0 |     27.3 |

### Transport: wss
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |      0.77 Kops/s |      0.1 MB/s |   1286.94 us |  2324.00 us |  2397.29 us |    0.7 |     28.6 |    0.7 |     28.6 |
| 256B |      0.77 Kops/s |      0.4 MB/s |   1288.52 us |  2257.00 us |  2288.00 us |    0.6 |     28.6 |    0.6 |     27.3 |
| 1024B |      0.79 Kops/s |      1.6 MB/s |   1260.06 us |  2264.00 us |  2288.59 us |    0.7 |     28.6 |    0.7 |     27.3 |
| 65536B |      0.73 Kops/s |     95.8 MB/s |   1365.88 us |  2297.00 us |  2329.00 us |    1.0 |     29.8 |    1.0 |     28.6 |
| 131072B |      0.67 Kops/s |    176.8 MB/s |   1477.27 us |  2404.00 us |  2465.00 us |    1.2 |     28.6 |    1.1 |     27.3 |
| 262144B |      0.61 Kops/s |    318.4 MB/s |   1642.20 us |  2373.20 us |  2477.64 us |    1.5 |     28.0 |    1.4 |     28.6 |

===============================================================================

## PATTERN: MULTI_PUBSUB (one-way)

### Transport: tcp
| Size     |       Throughput | Bandwidth |      Latency |  Lat p95 |  Lat p99 | C.CPU% | C.Mem MB | S.CPU% | S.Mem MB |
|----------|------------------|-----------|--------------|----------|----------|--------|----------|--------|----------|
| 64B |   7408.62 Kmsg/s |    474.2 MB/s | 468982.70 us | 546022.00 us | 621844.37 us |    7.0 |     26.8 |    7.6 |     20.9 |
| 256B |   5384.78 Kmsg/s |   1378.5 MB/s | 350951.83 us | 450819.65 us | 583006.24 us |    7.7 |     24.2 |    8.1 |     23.4 |
| 1024B |   1735.27 Kmsg/s |   1776.9 MB/s | 762352.42 us | 1114687.10 us | 1232967.05 us |    7.8 |     21.6 |    8.1 |     22.2 |
| 65536B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |    7.4 |     24.7 |    9.7 |     19.6 |
| 131072B |      0.00 Kmsg/s |      0.0 MB/s |      0.00 us |     0.00 us |     0.00 us |    7.8 |     24.2 |    9.7 |     19.6 |
